Index,Company,Category,Indicator,IndicatorNr,IndicatorSuffix,Branch,Composite,Class,Service,Score,serviceBrand
2020,Alibaba,G,G01,1,NA,Company,Group,Group,Group,0,NA
2020,Alibaba,G,G01,1,NA,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G02,2,NA,Company,Group,Group,Group,8,NA
2020,Alibaba,G,G02,2,NA,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G02,2,NA,Services,Services,eCommerce,Taobao.com,8,NA
2020,Alibaba,G,G02,2,NA,Services,Services,pda,AliGenie,8,NA
2020,Alibaba,G,G03,3,NA,Company,Group,Group,Group,13,NA
2020,Alibaba,G,G03,3,NA,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G03,3,NA,Services,Services,eCommerce,Taobao.com,25,NA
2020,Alibaba,G,G03,3,NA,Services,Services,pda,AliGenie,25,NA
2020,Alibaba,G,G04a,4,a,Company,Group,Group,Group,0,NA
2020,Alibaba,G,G04a,4,a,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G04a,4,a,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,G,G04a,4,a,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,G,G04b,4,b,Company,Group,Group,Group,0,NA
2020,Alibaba,G,G04b,4,b,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G04b,4,b,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,G,G04b,4,b,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,G,G04c,4,c,Company,Group,Group,Group,0,NA
2020,Alibaba,G,G04c,4,c,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G04c,4,c,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,G,G04c,4,c,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,G,G04d,4,d,Company,Group,Group,Group,0,NA
2020,Alibaba,G,G04d,4,d,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G04d,4,d,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,G,G04d,4,d,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,G,G04e,4,e,Company,Group,Group,Group,NA,NA
2020,Alibaba,G,G04e,4,e,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G04e,4,e,Services,Services,eCommerce,Taobao.com,NA,NA
2020,Alibaba,G,G04e,4,e,Services,Services,pda,AliGenie,NA,NA
2020,Alibaba,G,G05,5,NA,Company,Group,Group,Group,0,NA
2020,Alibaba,G,G05,5,NA,Company,OpCom,OpCom,Operating Company,NA,NA
2020,Alibaba,G,G06a,6,a,Services,Services,eCommerce,Taobao.com,6,NA
2020,Alibaba,G,G06a,6,a,Services,Services,pda,AliGenie,6,NA
2020,Alibaba,G,G06b,6,b,Services,Services,eCommerce,Taobao.com,50,NA
2020,Alibaba,G,G06b,6,b,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F01a,1,a,Services,Services,eCommerce,Taobao.com,50,NA
2020,Alibaba,F,F01a,1,a,Services,Services,pda,AliGenie,50,NA
2020,Alibaba,F,F01b,1,b,Services,Services,eCommerce,Taobao.com,83,NA
2020,Alibaba,F,F01b,1,b,Services,Services,pda,AliGenie,50,NA
2020,Alibaba,F,F01c,1,c,Services,Services,eCommerce,Taobao.com,100,NA
2020,Alibaba,F,F01c,1,c,Services,Services,pda,AliGenie,75,NA
2020,Alibaba,F,F01d,1,d,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F01d,1,d,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F02a,2,a,Services,Services,eCommerce,Taobao.com,75,NA
2020,Alibaba,F,F02a,2,a,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F02b,2,b,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F02b,2,b,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F02c,2,c,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F02c,2,c,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F02d,2,d,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F02d,2,d,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F03a,3,a,Services,Services,eCommerce,Taobao.com,100,NA
2020,Alibaba,F,F03a,3,a,Services,Services,pda,AliGenie,50,NA
2020,Alibaba,F,F03b,3,b,Services,Services,eCommerce,Taobao.com,50,NA
2020,Alibaba,F,F03b,3,b,Services,Services,pda,AliGenie,50,NA
2020,Alibaba,F,F03c,3,c,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F03c,3,c,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F04a,4,a,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F04a,4,a,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F04b,4,b,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F04b,4,b,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F04c,4,c,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F04c,4,c,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F05a,5,a,Services,Services,eCommerce,Taobao.com,14,NA
2020,Alibaba,F,F05a,5,a,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F05b,5,b,Services,Services,eCommerce,Taobao.com,30,NA
2020,Alibaba,F,F05b,5,b,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F06,6,NA,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F06,6,NA,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F07,7,NA,Services,Services,eCommerce,Taobao.com,0,NA
2020,Alibaba,F,F07,7,NA,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F08,8,NA,Services,Services,eCommerce,Taobao.com,38,NA
2020,Alibaba,F,F08,8,NA,Services,Services,pda,AliGenie,0,NA
2020,Alibaba,F,F09,9,NA,Services,Services,eCommerce,Taobao.com,NA,NA
