Company,CompanyClean,Class,Label,LabelShort
Telenor,Telenor,mobile,Prepaid mobile,Prepaid mobile
Telenor,Telenor,mobile,Postpaid mobile,Postpaid mobile
Telenor,Telenor,broadband,Fixed-line broadband,Fixed-line broadband
Tencent,Tencent,Group,Tencent (Group),Tencent
Tencent,Tencent,OpCom,NA,NA
Tencent,Tencent,socialNetworkBlogs,QZone,QZone
Tencent,Tencent,messagingVoip,QQ,QQ
Tencent,Tencent,messagingVoip,WeChat,WeChat
Tencent,Tencent,cloud,Tencent Cloud,Tencent Cloud
Twitter,Twitter,Group,Twitter,Twitter
Twitter,Twitter,OpCom,NA,NA
Twitter,Twitter,socialNetworkBlogs,Twitter,Twitter
Verizon Media,VerizonMedia,Group,Verizon Media,Verizon Media
Verizon Media,VerizonMedia,OpCom,NA,NA
Verizon Media,VerizonMedia,email,Yahoo Mail,Yahoo Mail
Vodafone,Vodafone,Group,Vodafone,Vodafone
Vodafone,Vodafone,OpCom,Vodafone UK,Vodafone UK
Vodafone,Vodafone,mobile,Prepaid mobile,Prepaid mobile
Vodafone,Vodafone,mobile,Postpaid mobile,Postpaid mobile
Vodafone,Vodafone,broadband,Fixed-line broadband,Fixed-line broadband
Yandex,Yandex,Group,Yandex (Group),Yandex
Yandex,Yandex,OpCom,NA,NA
Yandex,Yandex,email,Yandex Mail,Yandex Mail
Yandex,Yandex,search,Yandex Search,Yandex Search
Yandex,Yandex,cloud,Yandex Disk,Yandex Disk
