Index,Company,Category,Indicator,IndicatorNr,IndicatorSuffix,Score,Score_Adjusted
2019,Amazon,P,P15,15,NA,NA,NA
2019,Amazon,P,P16,16,NA,NA,NA
2019,Amazon,P,P17,17,NA,NA,NA
2019,Amazon,P,P18,18,NA,NA,NA
2019,AmericaMovil,G,G01,1,NA,100,100
2019,AmericaMovil,G,G02,2,NA,0,0
2019,AmericaMovil,G,G03,3,NA,87.5,87.5
2019,AmericaMovil,G,G04a,4,a,0,0
2019,AmericaMovil,G,G04b,4,b,0,0
2019,AmericaMovil,G,G04c,4,c,0,0
2019,AmericaMovil,G,G04d,4,d,0,0
2019,AmericaMovil,G,G04e,4,e,NA,NA
2019,AmericaMovil,G,G05,5,NA,0,0
2019,AmericaMovil,G,G06a,6,a,38.89,38.89
2019,AmericaMovil,G,G06b,6,b,NA,NA
2019,AmericaMovil,F,F01a,1,a,66.67,66.67
2019,AmericaMovil,F,F01b,1,b,NA,NA
2019,AmericaMovil,F,F01c,1,c,NA,NA
2019,AmericaMovil,F,F01d,1,d,NA,NA
2019,AmericaMovil,F,F02a,2,a,50,50
2019,AmericaMovil,F,F02b,2,b,NA,NA
2019,AmericaMovil,F,F02c,2,c,NA,NA
2019,AmericaMovil,F,F02d,2,d,NA,NA
2019,AmericaMovil,F,F03a,3,a,83.33,83.33
2019,AmericaMovil,F,F03b,3,b,NA,NA
2019,AmericaMovil,F,F03c,3,c,NA,NA
2019,AmericaMovil,F,F04a,4,a,NA,NA
2019,AmericaMovil,F,F04b,4,b,NA,NA
2019,AmericaMovil,F,F04c,4,c,NA,NA
2019,AmericaMovil,F,F05a,5,a,0,0
2019,AmericaMovil,F,F05b,5,b,0,0
2019,AmericaMovil,F,F06,6,NA,0,0
2019,AmericaMovil,F,F07,7,NA,0,0
2019,AmericaMovil,F,F08,8,NA,0,0
2019,AmericaMovil,F,F09,9,NA,25,25
2019,AmericaMovil,F,F10,10,NA,0,0
2019,AmericaMovil,F,F11,11,NA,0,0
2019,AmericaMovil,F,F12,12,NA,NA,NA
2019,AmericaMovil,F,F13,13,NA,NA,NA
2019,AmericaMovil,P,P01a,1,a,83.33,83.33
2019,AmericaMovil,P,P01b,1,b,NA,NA
2019,AmericaMovil,P,P02a,2,a,0,0
2019,AmericaMovil,P,P02b,2,b,NA,NA
2019,AmericaMovil,P,P03a,3,a,16.67,16.67
2019,AmericaMovil,P,P03b,3,b,NA,NA
2019,AmericaMovil,P,P04,4,NA,50,50
2019,AmericaMovil,P,P05,5,NA,37.5,37.5
2019,AmericaMovil,P,P06,6,NA,0,0
2019,AmericaMovil,P,P07,7,NA,25,25
2019,AmericaMovil,P,P08,8,NA,12.5,12.5
2019,AmericaMovil,P,P09,9,NA,NA,NA
2019,AmericaMovil,P,P10a,10,a,7.14,7.14
2019,AmericaMovil,P,P10b,10,b,0,0
2019,AmericaMovil,P,P11a,11,a,0,0
2019,AmericaMovil,P,P11b,11,b,0,0
2019,AmericaMovil,P,P12,12,NA,0,0
2019,AmericaMovil,P,P13,13,NA,66.67,66.67
2019,AmericaMovil,P,P14,14,NA,0,0
2019,AmericaMovil,P,P15,15,NA,0,0
2019,AmericaMovil,P,P16,16,NA,NA,NA
2019,AmericaMovil,P,P17,17,NA,NA,NA
2019,AmericaMovil,P,P18,18,NA,100,100
2019,Apple,G,G01,1,NA,50,50
2019,Apple,G,G02,2,NA,50,50
2019,Apple,G,G03,3,NA,50,50
2019,Apple,G,G04a,4,a,41.67,41.67
2019,Apple,G,G04b,4,b,0,0
2019,Apple,G,G04c,4,c,0,0
2019,Apple,G,G04d,4,d,0,0
2019,Apple,G,G04e,4,e,NA,NA
2019,Apple,G,G05,5,NA,0,0
2019,Apple,G,G06a,6,a,20.37,20.37
2019,Apple,G,G06b,6,b,NA,NA
2019,Apple,F,F01a,1,a,61.11,61.11
2019,Apple,F,F01b,1,b,NA,NA
2019,Apple,F,F01c,1,c,NA,NA
2019,Apple,F,F01d,1,d,NA,NA
2019,Apple,F,F02a,2,a,16.67,16.67
2019,Apple,F,F02b,2,b,NA,NA
2019,Apple,F,F02c,2,c,NA,NA
2019,Apple,F,F02d,2,d,NA,NA
2019,Apple,F,F03a,3,a,57.78,57.78
2019,Apple,F,F03b,3,b,NA,NA
2019,Apple,F,F03c,3,c,NA,NA
2019,Apple,F,F04a,4,a,NA,NA
2019,Apple,F,F04b,4,b,NA,NA
